TestSuite,TestCaseID,RunFlag,Description,InterfaceType,UriPath,ContentType,Method,Option,RequestHeaders,TemplateFile,RequestBody,OutputParams,RespCodeExp,ExpectedResponse,TcComments
TsUser,getAdminToken,Y,Retrieve a token from Token Generator,RESTfulAPI,/auth/local,application/json,POST,,,,"{
""identifier"": ""<@adminUserName>"",
""password"": ""<@adminUserPassword>""
}","user.role.id:<$roles>; jwt:<$accessTokenAdmin>;
user.id:<$userId>",200,"{
       ""user"": {
        ""username"":  ""<@adminUserName>"",
        ""email"": ""autouser313@gmail.com"",
        ""provider"": ""local"",
        ""confirmed"": true,
        ""blocked"": null
    }
}
&&
_VERIFY.JSON.PART_
""user.username"":1: hasItems(<@adminUserName>);
""user.email"":1: equalTo(autouser313@gmail.com);
""user.provider"":1: isNotEmpty;
""user.role.name"":1: contains(Administrator)
&& 
_NOT_EMPTY_
",
TsUser,setupUser,Y,create user,RESTfulAPI,/content-manager/explorer/user/?source=users-permissions,application/x-www-form-urlencoded,POST,"action:createUser.csv: updateUser, updateUser2",Authorization: Bearer <@accessTokenAdmin>,,"username:zzz_test<@_TIME16>,
email:testuser+<@_TIME16>@gmail.com,
password:password<@_TIME16>,
confirmed:true
",id:<$userId>,201,"{
    ""provider"": ""local"",
    ""blocked"": null
}
&&
_VERIFY.JSON.PART_
""id"": isNotEmpty",
TsUser,deleteUser,Y,delete user,RESTfulAPI,/content-manager/explorer/user/<@userId>?source=users-permissions,,DELETE,,Authorization: Bearer <@accessTokenAdmin>,,,,200,,
